Subject_ID,Skill_Computed,Total_Time,Total_demos,Sgm_id,Sgm_Duration,Subsegments,RF_Passive,RF_Active,Var_Int_P_X,Var_Int_P_Y,Var_Int_P_Z,Var_Int_A_X,Var_Int_A_Y,Var_Int_A_Z,Stiff_P_X,Stiff_P_Y,Stiff_P_Z,Stiff_A_X,Stiff_A_Y,Stiff_A_Z,meanGQ_X,meanGQ_Y,meanGQ_Z,meanGQ_RX,meanGQ_RY,meanGQ_RZ,minGQ_X,minGQ_Y,minGQ_Z,minGQ_RX,minGQ_RY,minGQ_RZ,maxGQ_X,maxGQ_Y,maxGQ_Z,maxGQ_RX,maxGQ_RY,maxGQ_RZ,maxF_X,maxF_Y,maxF_Z,maxT_X,maxT_Y,maxT_Z
10,1,11.88,15,2,300,1,2,3,2,3,3,2,2,3,0.47466,0.43754,0.37585,0.46988,0.4033,0.55191,1.3127,1.255,0.53997,0.03974,0.095079,0.055869,0.29263,0.083717,0.10923,0.00062997,0.00062458,0.00095837,2.8485,3.1227,2.7605,0.16786,0.4104,0.34012,22.279,31.535,9.0418,3.6891,0.080781,0.027012
10,1,11.88,15,3,680,2,2,1,1,1,1,1,1,1,0.62159,0.35672,0.62578,0.58367,0.65441,0.77896,1.112,0.662,0.59209,0.10595,0.1385,0.15925,0.19604,0.1686,0.12244,0.00067319,0.0020033,0.0018835,2.8204,1.8046,2.0058,0.32263,0.57887,0.88024,22.279,31.535,9.0418,3.6891,0.080781,0.027012
11,0,9.91,20,1,99,1,2,1,1,1,1,1,1,1,0.55689,0.61329,0.56494,0.36079,0.65538,0.55878,0.5936,1.4149,0.16187,0.90074,0.49007,0.2894,0,0,0,0.010009,0.010535,0.0019985,1.8666,2.5545,0.82906,2.2351,1.4299,0.5806,11.81,20.009,2.7389,2.3638,0.25124,0.02686
11,0,9.91,20,2,600,3,1,1,3,3,3,3,2,2,0.60485,0.46025,0.494,0.46275,0.39709,0.35857,0.88996,1.4051,0.26387,0.39132,0.31332,0.21913,0,0,0,0.0053553,0.0051585,0.001829,2.6804,3.246,1.2705,1.0016,0.80953,0.57145,11.81,20.009,2.7389,2.3638,0.25124,0.02686
11,0,9.91,20,3,290,2,1,3,1,1,1,1,1,1,0.3602,0.30056,0.25154,0.58735,0.52855,0.47634,0.19592,0.30147,0.58093,0.35897,0.5309,0.2568,0.077654,0.043776,0.050911,0.011939,0.017196,0.043273,0.81035,1.1418,2.4085,0.64822,1.4118,0.53475,11.81,20.009,2.7389,2.3638,0.25124,0.02686
13,1,10.49,12,1,99,1,1,3,1,1,1,1,1,1,0.50002,0.53767,0.38534,0.53254,0.49181,0.56125,1.889,0.99361,0.35937,0.097906,0.16395,0.12616,0.3906,0.13182,0.095146,0.0017394,0.0015243,0.0015251,4.1328,2.7293,0.69375,0.62247,1.3638,0.37878,26.629,25.95,0.84488,3.0762,0.11814,0.0085127
13,1,10.49,12,2,400,1,1,1,3,2,2,2,3,2,0.3179,0.39737,0.36782,0.37763,0.44557,0.50151,1.3849,1.1032,0.38362,0.060349,0.12166,0.12262,0.13699,0.20028,0.01919,0.0011478,0.0011784,0.001287,2.5204,3.5928,1.2178,0.40113,1.0702,1.0699,26.629,25.95,0.84488,3.0762,0.11814,0.0085127
13,1,10.49,12,3,540,1,2,3,1,1,1,1,1,1,0.37031,0.49428,0.3692,0.64577,0.57524,0.74068,1.4505,0.55951,0.62821,0.063293,0.14421,0.064526,0.19667,0.18436,0.23262,0.0095556,0.0019113,0.001959,3.0465,0.92975,1.0104,0.1289,0.46072,0.55933,26.629,25.95,0.84488,3.0762,0.11814,0.0085127
17,1,11.48,20,1,99,1,1,2,1,1,1,1,1,1,0.16743,0.087263,0.45441,0.49533,0.51155,0.6219,0.66079,1.9507,0.39999,0.14154,0.10536,0.1731,0.2603,0.2685,0.028945,0.0025563,0.0016976,0.0016668,1.6544,3.1873,1.0694,0.37555,0.27126,0.87538,20.382,24.722,5.4003,2.7625,0.074681,0.0053593
17,1,11.48,20,2,500,1,2,3,3,3,3,2,3,2,0.36552,0.39902,0.34881,0.30742,0.40385,0.27904,0.721,1.7228,0.5588,0.39011,0.20602,0.26056,0.18927,0.6659,0.14346,0.046159,0.025536,0.028622,1.6152,6.0204,1.3382,1.3221,0.42494,0.55755,20.382,24.722,5.4003,2.7625,0.074681,0.0053593
